Category,date,Description,Amount
Airlines / Transportation,4/23/10,Bart-Civic Centbart-Civicsan Franciscony,4
Food/Drink,4/24/10,Kens Kitchen Qps1,20.4
Food/Drink,4/24/10,Stacks1,21.85
Groceries,4/24/10,Super Sam Food Super Sam San Fransiscoca,11.69
Shopping,4/25/10,Apl*Itunes,4.99
Groceries,4/25/10,Arguello Supermarguello S1,43.68
Cash/ATM,4/26/10,ATM Withdrawal - 04/26 P81240332 Goughlas Estrel1,62.25
Bills/Utilities,4/26/10,Comcast California800-Comcast,96.03
Groceries,4/26/10,Safewaystore Safewaysbelmontca,17.33
Auto/Transportation,4/27/10,Fastrak Cscqps,40
Bills/Utilities,4/27/10,Household-Pacific Gas & El,19.04
Building Supply / Wholesale,4/27/10,The Home Depot The Home Dsan Carlos,23.98
Auto/Transportation,4/27/10,Union 76 10032522San Carlosca,40.72
Groceries,4/29/10,Nob Hill,8.67
Cash/ATM,4/30/10,ATM Withdrawal - 04/30 P109554 536 A Hayes St Moishe'S P1,62.25
Groceries,5/1/10,Super Sam Food Super Sam San Fransiscoca,11.89
Cash/ATM,5/2/10,ATM Withdrawal - 05/02 P81240332 Goughlas Estrel1,102.25
Mortgage / Rent,5/2/10,Uc Hastings Parking Ga1,200
Auto/Transportation,5/3/10,Union 76 00463232Belmont,38.3
Shopping,5/4/10,Apl*Itunes,1.99
Bills/Utilities,5/4/10,Utilities/Telco-At&T Mobility,99.73
Shopping,5/5/10,Journeys #489,76.64
Airlines / Transportation,5/6/10,Bart-Civic Centbart-Civicsan Franciscony,16
Food/Drink,5/6/10,Las Margaritas Restaur1,56.78
Food/Drink,5/6/10,Mission Bar & Grill 1,33.24
Airlines / Transportation,5/7/10,Airport Terminaairport Teeast Bostonma,10
Food/Drink,5/8/10,Aramark Fenway Park Bostonma,33
Shopping,5/9/10,Bostonian Society - Fabostonma,19.13
Food/Drink,5/9/10,Dunkin,1.9
Food/Drink,5/9/10,Round Table Pizza,23.74
Food/Drink,5/9/10,Todd English B10328516East Boston Ma,72
Food/Drink,5/10/10,Old County Deli Belmont,8.25
Auto/Transportation,5/10/10,Shell Oil 57444216204 1,39.42
Groceries,5/10/10,Super Sam Food Super Sam San Fransiscoca,2.46
Food/Drink,5/11/10,Classic Us101 Burgersbelmont,7.86
Groceries,5/11/10,Safewaystore Safeways1,82.45
Shopping,5/12/10,Office Lube Thousand Oaks,39.98
Food/Drink,5/12/10,Pluto'S Sf Sunset 1,24.42
Credit Card/Loan Payments,5/13/10,Credit-Capital One,100
Food/Drink,5/13/10,Old County Deli Belmont,9.5
Mortgage / Rent,5/13/10,Rent check #362,1400
Groceries,5/13/10,Super Sam Food Super Sam San Fransiscoca,11.69
Food/Drink,5/14/10,At&T Park Concess 1,29.75
Food/Drink,5/15/10,Gordo Taqueria - C1,14.39
Auto/Transportation,5/15/10,Union 76 100975171,41
Food/Drink,5/16/10,Round Table Pizza,38
Groceries,5/16/10,Super Sam Food Super Sam San Fransiscoca,7.07
Groceries,5/17/10,Nob Hill,8.22
Food/Drink,5/18/10,Old County Deli Belmont,8.25
Food/Drink,5/19/10,Baja Fresh,9.92
Groceries,5/19/10,Coit Liquor/585Coit Liquo1,12.94
Auto/Transportation,5/19/10,Les Schwab,412.46
Shopping,5/20/10,Gamestop #5145,65.69
Groceries,5/20/10,Super Sam Foodsan Fransisco,10.94
Auto/Transportation,5/21/10,Shell Service Sshell Serv1,38.29
Auto/Transportation,5/22/10,Embarcadero Ctr Parkin1,15
Groceries,5/22/10,Grant And Green Market1,10.8
Food/Drink,5/23/10,Ace Wasabi'S Rock N Ro1,14.8
Groceries,5/23/10,Super Sam Food Super Sam San Fransiscoca,10.23
Food/Drink,5/24/10,Classic Us101 Burgersbelmont,6.76
Auto/Transportation,5/25/10,Fastrak Cscqps,40
Bills/Utilities,5/25/10,Household-Pacific Gas & El,21.42
Groceries,5/25/10,Safewaystore Safeways1,45.91
Bills/Utilities,5/26/10,Comcast California800-Comcast,96.57
Cash/ATM,5/27/10,ATM Withdrawal - 05/27 Icad0071*College Avenuebank Of Amoaklandca,63
Auto/Transportation,5/27/10,Car Service Oakland,36.77
Building Supply / Wholesale,5/27/10,The Home Depot The Home Demeryville,17.36
Food/Drink,5/29/10,Stacks1,44.58
Groceries,5/29/10,Super Sam Food Super Sam San Fransiscoca,11.69
Cash/ATM,5/30/10,ATM Withdrawal - 05/301176T 4Th & Brannan 1,200
Groceries,5/31/10,Safewaystore Safeways1,34.39
Mortgage / Rent,6/2/10,Uc Hastings Parking Ga1,200
Auto/Transportation,6/2/10,Union 76 00463232Belmont,39.57
Postage / Delivery,6/2/10,Usps0506000101Usps05060Belmontca,10.48
Shopping,6/2/10,Xtranormal5146641061Cd,2
Shopping,6/3/10,Radio Shackradio Shacbelmontca,42.6
Building Supply / Wholesale,6/3/10,The Home Depot The Home Dsan Carlos,63.71
Bills/Utilities,6/4/10,Utilities/Telco-At&T Mobility,109.14
Cash/ATM,6/5/10,ATM Withdrawal - 06/05 80890880199 Valencia Stzeitgeist 1,63.95
Food/Drink,6/5/10,Round Table Pizza,30.37
Food/Drink,6/5/10,Squat And Gobble,25.79
Groceries,6/5/10,Super Sam Food Super Sam San Fransiscoca,11.94
Auto/Transportation,6/8/10,Chevron002037211,37.92
Auto/Transportation,6/8/10,Pepboys Store,43.89
Mortgage / Rent,6/8/10,Rent check #363,1350
Groceries,6/9/10,Nob Hill,8.34
Food/Drink,6/9/10,Peets Coffee/Tea11Q111,4.2
Groceries,6/9/10,Safewaystore Safeways1,30.07
Groceries,6/9/10,Super Sam Food Super Sam San Fransiscoca,6.09
Food/Drink,6/10/10,Subway00047761Belmont,7.84
Cash/ATM,6/11/10,ATM Withdrawal - 06/11 P81240332 Goughlas Estrel1,62.25
Auto/Transportation,6/11/10,Fastrak Csc,40
Postage / Delivery,6/11/10,Fedex/Kinko'S,12.8
Food/Drink,6/12/10,Patxi'S Chicago Pizza 1,28.41
Groceries,6/12/10,Super Sam Food Super Sam San Fransiscoca,25.91
Shopping,6/12/10,The Sports Basethe Sports1,29
Food/Drink,6/13/10,Smuggler'S Cove 415-869-1900Ca,30
Groceries,6/13/10,Super Sam Food Super Sam San Fransiscoca,15.32
Health,6/13/10,Walgreen Companwalgreen C1,10.39
Health,6/13/10,Walgreen Companwalgreen C1,41.39
Food/Drink,6/14/10,Mcdonald'S F45471,10.4
Shopping,6/14/10,Paypal *Neweggcom 402-935-7733Ca,123.83
Auto/Transportation,6/14/10,Shell Oil 57444216006 1,39.89
Credit Card/Loan Payments,6/15/10,Credit-Capital One,100
Food/Drink,6/15/10,Old County Deli Belmont,9.5
Groceries,6/16/10,Super Sam Food Super Sam San Fransiscoca,10.94
Building Supply / Wholesale,6/16/10,The Home Depot The Home Dsan Carlos,25
Food/Drink,6/16/10,Wok Shop Cafe Inc 415-7712142,28
Groceries,6/17/10,That Takes The Cake 1,18.3
Food/Drink,6/18/10,Mcdonald'S F45471,9.39
Auto/Transportation,6/18/10,Shell Oil 57444216006 1,39.11
Groceries,6/18/10,Vons Store Vons Satascadero,95.07
Auto/Transportation,6/21/10,Dick'S Valero Salinas,33.32
Groceries,6/22/10,Nob Hill,12.88
Food/Drink,6/22/10,Una Mas Mex Grill,9.37
Food/Drink,6/23/10,Old County Deli Belmont,7.25
Shopping,6/24/10,Apl*Itunes,0.99
Food/Drink,6/24/10,Chipotle1174 San Carlosca,10
Credit Card/Loan Payments,6/24/10,Credit-Capital One,450
Bills/Utilities,6/24/10,Household-Pacific Gas & El,20.94
Food/Drink,6/24/10,Peets Coffee/Tea11Q111,1.85
Auto/Transportation,6/24/10,Shell Oil 57444216006 1,40.07
Auto/Transportation,6/25/10,City Park Unit 64 1,10
Groceries,6/25/10,Grant And Green Market1,13.13
Food/Drink,6/25/10,King Chaun Restaurant San Carlosca,8.16
Food/Drink,6/25/10,Lefty O'Douls 1,11.92
Food/Drink,6/25/10,Lefty O'Douls 1,13
Entertainment,6/26/10,AMC Van Ness04004347San Franciscca,22
Bills/Utilities,6/26/10,Comcast California800-Comcast,96.58
Groceries,6/26/10,Super Sam Food Super Sam San Fransiscoca,16.69
Cash/ATM,6/27/10,ATM Withdrawal - 06/27 2607Y 374 Golden Gate Ave 1,60
Cash/ATM,6/27/10,"ATM Withdrawal - 06/270006A1266 Market St, San Francisco, Ca",60
Health,6/27/10,Walgreen Companwalgreen C1,11.65
Shopping,6/29/10,Apl*Itunes,0.99
Food/Drink,6/29/10,Panda Express 388 San Mateo,8.48
Shopping,6/29/10,Paypal Inst Xfer100629 4Jt224Bdlpgq6 Travis Lawrence,6.1
Groceries,6/29/10,Safewaystore Safeways1,35.97
Cash/ATM,6/30/10,ATM Withdrawal - 06/30 P1266111461 Grant Avens & S Groc1,63
Groceries,6/30/10,Safewaystore Safeways1,12.76
Food/Drink,6/30/10,Subway00047761Belmont,7.84
Auto/Transportation,6/30/10,Union 76 00463232Belmont,40.12
Checks Written,7/2/10,check #365,130
Mortgage / Rent,7/2/10,Uc Hastings Parking Ga1,235
Bills/Utilities,7/2/10,Utilities/Telco-At&T Mobility,98.89
Shopping,7/3/10,Apl*Itunes,1.29
Groceries,7/3/10,Safewaystore Safeways1,40.8
Entertainment,7/3/10,Sundance Cinemas K415-460-1906Ca,33.5
Food/Drink,7/3/10,The Grove Chestnut1,25.51
Airlines / Transportation,7/4/10,Bart-Civic Centbart-Civicsan Franciscony,9
Food/Drink,7/5/10,Mcdonald'S F45471,10.4
Food/Drink,7/5/10,Round Table Pizza,21.89
Contractors / Business Services,7/6/10,Equifax Consumer,14.95
Food/Drink,7/7/10,Old County Deli Belmont,7.25
Mortgage / Rent,7/7/10,Rent check #364,1350
Auto/Transportation,7/7/10,Shell Oil 57444216204 1,37.89
Auto/Transportation,7/8/10,Fastrak Csc,40
Groceries,7/8/10,Nob Hill,6.54
Groceries,7/8/10,Super Sam Food Super Sam San Fransiscoca,4.25
Groceries,7/8/10,Super Sam Food Super Sam San Fransiscoca,4.75
Food/Drink,7/9/10,Eat24Hours.Com415-762-0770Ca,20.59
Auto/Transportation,7/9/10,Farmer'S Mini Martgonzalesca,36.15
Auto/Transportation,7/9/10,Farmer'S Mini Mfarmer'S Mgonzales,4.42
Groceries,7/9/10,Super Sam Food Super Sam San Fransiscoca,6.03
Food/Drink,7/11/10,Bulls San Luis Obis,20
Auto/Transportation,7/11/10,Shell Oil 57444213508 Santa Clara,38.86
Auto/Transportation,7/11/10,Shell Service Sshell Servatascadero,16.61
Shopping,7/12/10,Apple Store,100.95
Auto/Transportation,7/12/10,Impark5104837275Ca,8
Food/Drink,7/12/10,Panda Express 388 San Mateo,7.11
Groceries,7/12/10,Super Sam Food Super Sam San Fransiscoca,3.63
Groceries,7/12/10,Super Sam Food Super Sam San Fransiscoca,3.75
Credit Card/Loan Payments,7/13/10,Credit-Capital One,100
Food/Drink,7/13/10,Old County Deli Belmont,8
Shopping,7/13/10,Radio Shackradio Shacbelmontca,9.82
Groceries,7/13/10,Safewaystore Safeways1,15.12
Shopping,7/14/10,Apl*Itunes,3.99
Food/Drink,7/14/10,Old County Deli Belmont,7.25
Food/Drink,7/15/10,Peets Coffee/Tea11Q111,8.2
Food/Drink,7/15/10,Subway00047761Belmont,7.84
Groceries,7/15/10,Super Sam Food Super Sam San Fransiscoca,5.12
Auto/Transportation,7/15/10,Union 76 10028231San Carlosca,41.19
Food/Drink,7/16/10,Peets Coffee/Tea11Q111,11.1
Groceries,7/16/10,Super Sam Food,10.43
Entertainment,7/17/10,AMC Van Ness04004347San Franciscca,7.5
Entertainment,7/17/10,AMC Van Ness04004347San Franciscca,24
Groceries,7/17/10,Super Sam Food Super Sam San Fransiscoca,9.8
Health,7/17/10,Walgreen Companwalgreen C1,9.48
Cash/ATM,7/18/10,ATM Withdrawal - 07/18 2230M San Francisco Sfway,60
Groceries,7/18/10,Super Sam Food Super Sam San Fransiscoca,7.11
Food/Drink,7/20/10,Old County Deli Belmont,7.25
Postage / Delivery,7/20/10,Usps0506000101Usps05060Belmontca,10.25
Groceries,7/21/10,Super Sam Food Super Sam San Fransiscoca,5.12
Groceries,7/21/10,Super Sam Foodsan Fransisco,10.94
Food/Drink,7/21/10,Una Mas Mex Grill,9.37
Auto/Transportation,7/22/10,Chevron002037211,38.1
Food/Drink,7/22/10,Classic Us101 Burgersbelmont,6.76
Personal Care,7/22/10,Supercuts,27.74
Auto/Transportation,7/22/10,Tower Car Wash1,2.78
Shopping,7/23/10,"Aline Systems, Incmarbleheadma",65.7
Food/Drink,7/23/10,Flippers Gourmet Brger1,10.9
Groceries,7/23/10,Grant And Green Market1,10.93
Auto/Transportation,7/23/10,Parking Concepts Loc 41,3
Groceries,7/23/10,Super Sam Food Super Sam San Fransiscoca,3.74
Health,7/23/10,Walgreen Companwalgreen C1,7.33
Food/Drink,7/24/10,North Beach Pizza 415-4332444,20.53
Bills/Utilities,7/26/10,Comcast California800-Comcast,96.58
Food/Drink,7/26/10,Eat24Hours.Com415-762-0770Ca,29.46
Food/Drink,7/26/10,Subway00047761Belmont,7.84
Food/Drink,7/27/10,Chipotle1174 San Carlosca,8.36
Bills/Utilities,7/27/10,Household-Pacific Gas & El,17.84
Cash/ATM,7/28/10,"ATM Withdrawal - 07/280008C 468 Columbus Ave, San Francisco, Ca",40
Food/Drink,7/28/10,Old County Deli Belmont,7.25
Food/Drink,7/29/10,Kens Kitchen1,18
Auto/Transportation,7/29/10,Union 76 10028231San Carlosca,40.65
Food/Drink,7/30/10,Gotts Roadside1,33.55
Food/Drink,7/30/10,Olive Sf1,54.48
Cash/ATM,7/31/10,ATM Withdrawal - 07/31 Ci0156983050 24Th Streedirty Thie1,62.25
Groceries,8/3/10,Safewaystore Safeways1,24.61
Food/Drink,8/4/10,Chipotle1174 San Carlosca,6.83
Groceries,8/4/10,Grant And Green Market1,11.34
Mortgage / Rent,8/4/10,Uc Hastings Parking Ga1,235
Auto/Transportation,8/4/10,Union 76 10028231San Carlosca,39.92
Bills/Utilities,8/4/10,Utilities/Telco-At&T Mobility,97.64
Contractors / Business Services,8/5/10,Credit Communicat01 Of800-9542266,17.5
Groceries,8/5/10,Super Sam Food Super Sam San Fransiscoca,5.12
Cash/ATM,8/6/10,ATM Withdrawal - 08/06 Lk3943033160 -16Th St.Kilowatt1,42.5
Mortgage / Rent,8/6/10,Rent check #366,1350
Contractors / Business Services,8/7/10,Equifax Consumer,14.95
Postage / Delivery,8/7/10,Fedex Office,0.54
Personal Care,8/8/10,Bike And Roll_Columbus1,76.08
Food/Drink,8/8/10,La Barca1,22.45
Groceries,8/8/10,Super Sam Food Super Sam San Fransiscoca,9.13
Food/Drink,8/9/10,Quiznos Sub,10.47
Food/Drink,8/10/10,King Chaun Restaurant San Carlosca,8.16
Auto/Transportation,8/10/10,Union 76 10028231San Carlosca,38.35
Groceries,8/11/10,Nob Hill,6.54
Airlines / Transportation,8/11/10,Office Lube Thousand Oaks,258.47
Groceries,8/11/10,Super Sam Food Super Sam San Fransiscoca,14.93
Food/Drink,8/12/10,Old County Deli Belmont,7.25
Cash/ATM,8/13/10,ATM Withdrawal - 08/13 P81240332 Goughlas Estrel1,62.25
Credit Card/Loan Payments,8/13/10,Credit-Capital One,100
Shopping,8/14/10,Apl*Itunes,1.99
Cash/ATM,8/14/10,ATM Withdrawal - 08/14 Sw000697735 7Th Ave.Tronic1,63
Groceries,8/15/10,Arguello Supermarguello S1,26.39
Cash/ATM,8/15/10,ATM Withdrawal - 08/15 Lk754299Golden Gate Paroutside La1,44
Food/Drink,8/16/10,Baja Fresh,9.05
Food/Drink,8/16/10,Mas Sake Llc1,16.9
Food/Drink,8/17/10,Flippers Gourmet Brger1,10.9
Groceries,8/17/10,Nob Hill,6.54
Airlines / Transportation,8/18/10,Bart-Civic Centsan Franciscony,15
Food/Drink,8/18/10,Lori'S Diner,11.16
Cash/ATM,8/19/10,ATM Withdrawal - 08/19 Pi1458Ny Thruway Mm 6Pnc Bankhstngs Hudsn Ny,82
Food/Drink,8/19/10,Burger King Ny11012002Hastingsny,6.54
Groceries,8/19/10,Gristedes,14.33
Airlines / Transportation,8/19/10,Mta Vending Mac212-Metrocardny,27
Food/Drink,8/19/10,Roy Rogers Ny-11162153Rubyny,8.09
Auto/Transportation,8/19/10,Sunoco0042338401 Ramapony,31.89
Contractors / Business Services,8/20/10,Hostrocket.Com518-3713421 Ny,119.76
Food/Drink,8/20/10,New Kam Lai Iv Llc212-769-8899Ny,11.6
Food/Drink,8/20/10,Shake Shack 86Th St New Yorkny,12
Cash/ATM,8/21/10,ATM Withdrawal - 08/21 Lk80593453 Avenue Beast 4Th Dnew York Ny,61.95
Food/Drink,8/21/10,Brooklyn Public House Brooklynny,26.66
Food/Drink,8/21/10,St James Gate New Yorkny,20
Shopping,8/22/10,Hudson News Jfk 8/9 Jamaica Ny,28.25
Food/Drink,8/22/10,Soho Bistro-Te1043,22.27
Food/Drink,8/22/10,The Creek And The Cavelong Is Cty Ny,12
Groceries,8/23/10,Safewaystore 1,36.25
Auto/Transportation,8/23/10,Shell Oil 57444216006 1,40.2
Airlines / Transportation,8/23/10,Yellow Cab Of San Fran1,44
Food/Drink,8/24/10,Chevys 2454 1,38.33
Bills/Utilities,8/25/10,Household-Pacific Gas & El,22.96
Food/Drink,8/25/10,Old County Deli Belmont,8
Groceries,8/25/10,Super Sam Food San Fransiscoca,5.12
Food/Drink,8/26/10,Chipotle1174 San Carlosca,6.83
Bills/Utilities,8/26/10,Comcast California800-Comcast,97.98
Shopping,8/26/10,Rei 38 San Carlos San Carlosca,156.35
Cash/ATM,8/27/10,ATM Withdrawal - 08/27 4275I North Point Center Sf 1,60
Postage / Delivery,8/27/10,Fedex Office,0.79
Auto/Transportation,8/27/10,Union 76 100975171,39.96
Groceries,8/27/10,Vons Store Oakhurst,11.84
Auto/Transportation,8/29/10,Chevron00090015Yosemite Ntnl,42.96
Cash/ATM,8/31/10,ATM Withdrawal - 08/31 P81240332 Goughlas Estrel1,62.25
Checks Written,8/31/10,check #367,65
Credit Card/Loan Payments,8/31/10,Credit-Capital One,289.42
Auto/Transportation,8/31/10,Fastrak Csc,40
Auto/Transportation,8/31/10,Shell Service S1,39.86
Cash/ATM,9/2/10,ATM Withdrawal - 09/02 Tx6454423 Stockton Ststar Ne 1,62.99
Food/Drink,9/2/10,Una Mas Mex Grill,9.16
Checks Written,9/3/10,check #368,450
Shopping,9/3/10,Taxact *Online 2800-573-4287Ia,12.95
Mortgage / Rent,9/3/10,Uc Hastings Parking Ga1,235
Bills/Utilities,9/3/10,Utilities/Telco-At&T Mobility,95.39
Airlines / Transportation,9/4/10,Bart-Walnut Crewalnut Creek Ny,3
Food/Drink,9/4/10,Peets Coffee/Tea11Q111,17.3
Cash/ATM,9/5/10,ATM Withdrawal - 09/05 Cs38325 705 Divisadero Star Ne 1,42.5
Food/Drink,9/5/10,Olive Sf1,23
Cash/ATM,9/7/10,ATM Withdrawal - 09/07 Tx9701562 Green St.Star Ne 1,62
Food/Drink,9/7/10,King Chaun Restaurant San Carlosca,8.71
Auto/Transportation,9/8/10,Chevron002037211,38.13
Mortgage / Rent,9/8/10,Rent check #369,1350
Cash/ATM,9/10/10,ATM Withdrawal - 09/10 Tx17562 559 Hayes St.Star Ne 1,62.25
Groceries,9/10/10,Safewaystore Belmontca,25.65
Personal Care,9/10/10,Supercuts,20
Food/Drink,9/11/10,La Mar Cebicheria Peru,162.98
Shopping,9/12/10,Cb2 #53,546.41
Shopping,9/13/10,Apl*Itunes,4.99
Shopping,9/13/10,Room & Board-San Fran,1618.42
Food/Drink,9/13/10,Subway00047761Belmont,7.84
Auto/Transportation,9/13/10,Union 76 10028231San Carlosca,35.88
Food/Drink,9/14/10,Kens Kitchen1,21.55
Shopping,9/14/10,Paypal Inst Xfer100914 4Jt224Fgmycgg Travis Lawrence,11.19
Credit Card/Loan Payments,9/15/10,Credit-Capital One,1781.4
Food/Drink,9/15/10,Old County Deli Belmont,7.25
Shopping,9/15/10,Paypal Inst Xfer100915 4Jt224Fh2B8Pc Travis Lawrence,11
Groceries,9/15/10,Super Sam Food San Fransiscoca,11.69
Building Supply / Wholesale,9/15/10,The Home Depot Emeryville,7.79
Food/Drink,9/16/10,Peet'S,8.2
Auto/Transportation,9/16/10,Shell Service S1,39.82
Groceries,9/16/10,Super Sam Food San Fransiscoca,6.12
Shopping,9/17/10,Apl*Itunes,5.98
Cash/ATM,9/17/10,ATM Withdrawal - 09/17 2095U Belmont Safeway Belmont,40
Cash/ATM,9/17/10,ATM Withdrawal - 09/170276A 302716Th St1,40
Food/Drink,9/17/10,Old County Deli Belmont,8
Groceries,9/17/10,Safewaystore Belmontca,3.05
Airlines / Transportation,9/18/10,Bart-Civic Centsan Franciscony,7
Credit Card/Loan Payments,9/18/10,Credit-Capital One,546.41
Contractors / Business Services,9/20/10,Swisscom Internet Itmilanoit,4.14
Groceries,9/21/10,Beer-Ba,7.23
Contractors / Business Services,9/23/10,Axis Appraisal Managemsan Rafaelca,525
Bills/Utilities,9/24/10,Household-Pacific Gas & El,17.96
Bills/Utilities,9/24/10,Vodafone Wi-Ficorsico It,20.17
Other Spending,9/29/10,Florence Gold Center S,328.96
Shopping,10/1/10,Swisscom Internet It,4.81
Shopping,10/3/10,24 Hour Fitness,49
Food/Drink,10/4/10,Chipotle 1174,6.83
Shopping,10/4/10,Impark,8
Checks Written,10/4/10,Withdrawal Made In A Branch/Store,100
Bills/Utilities,10/5/10,Household-Comcast Cable Co,98.03
Shopping,10/5/10,Impark,8
Food/Drink,10/5/10,Old County Deli,7.25
Bills/Utilities,10/5/10,Utilities/Telco-At&T Mobility,97.16
Checks Written,10/5/10,Withdrawal Made In A Branch/Store,63
Shopping,10/6/10,Impark,8
Auto/Transportation,10/6/10,Shell Oil 57444216006,37.64
Shopping,10/7/10,Impark,8
Food/Drink,10/7/10,Mcdonald'S F4547,9.07
Mortgage / Rent,10/8/10,check #1001,360
Food/Drink,10/8/10,Gordo Taqueria - C,7.93
Shopping,10/8/10,Impark,8
Auto/Transportation,10/8/10,Shell Oil 57444216709,9.69
Shopping,10/8/10,U-Haul Downtown Box St,31.88
Shopping,10/9/10,Vts San Francisco,14.65
Shopping,10/10/10,Apl*Itunes,2.99
Shopping,10/10/10,The Puma Store,65.7
Auto/Transportation,10/10/10,Valero #7262,41.31
Auto/Transportation,10/10/10,Valero #7262,41.31
Home,10/11/10,Iron Man Moving,666
Food/Drink,10/11/10,Round Table Pizza Sf G,30.37
Groceries,10/11/10,Safeway Store00014902,6.64
Shopping,10/11/10,The Sports Basement-Mi,47.63
Food/Drink,10/12/10,Chipotle 1174,6.83
Credit Card/Loan Payments,10/13/10,Credit-Capital One,138
Food/Drink,10/13/10,Old County Deli,8
Food/Drink,10/14/10,King Chaun Restaurant,8.14
Shopping,10/14/10,Paypal Inst Xfer101014 4Jt224H6Qw9Vy Travis Lawrence,11
Auto/Transportation,10/14/10,Shell Oil 57444216006,36.24
Food/Drink,10/14/10,Starbucks Usa 00006643,3.9
Groceries,10/14/10,Super Sam Food,5.38
Food/Drink,10/15/10,Nizarios Pizza1,9.25
Groceries,10/15/10,Nob Hill,6.54
Food/Drink,10/15/10,The Bitter End1,17
Groceries,10/16/10,Arguello Supermark1,35.97
Cash/ATM,10/16/10,ATM Withdrawal - 10/16 Cs192181025 Columbus Astar Ne 1,122.5
Credit Card/Loan Payments,10/16/10,Credit-Capital One,1321
Shopping,10/18/10,Apl*Itunes,4.99
Groceries,10/18/10,Safewaystore 1,52.31
Food/Drink,10/19/10,Chutney 1,22.5
Shopping,10/19/10,Paypal Inst Xfer101019 4Jt224Hgsu5Xe Travis Lawrence,38.69
Groceries,10/19/10,Press Market 1,10.68
Shopping,10/19/10,Room & Board-San Fran,-86.51
Groceries,10/20/10,Potrero Te990 W1,11.94
Food/Drink,10/20/10,Rye 1,47
Auto/Transportation,10/20/10,Shell Oil 57444216907 1,37.66
Food/Drink,10/20/10,Subway003901531,15.78
Shopping,10/21/10,Apl*Itunes,0.99
Cash/ATM,10/21/10,ATM Withdrawal - 10/210558K Laurel1,60
Bills/Utilities,10/23/10,Household-Pacific Gas & El,13.44
Food/Drink,10/24/10,Pluto'S Sf Marina 1,26.94
Shopping,10/25/10,Apl*Itunes,1.98
Shopping,10/25/10,Paypal Inst Xfer101024 4Jt224Hrvwlyn Travis Lawrence,27.9
Auto/Transportation,10/25/10,Recur Debit Crd Pmt10/25 Fastrak Csc,30
Groceries,10/25/10,Safewaystore 1,7.07
Building Supply / Wholesale,10/25/10,The Home Depot San Carlos,18.15
Auto/Transportation,10/25/10,Union 76 100975171,41.11
Shopping,10/26/10,Amazon Mktplace Pmtsamzn.Com/Bill Wa,52.28
Shopping,10/26/10,Amazon Mktplace Pmtsamzn.Com/Bill Wa,73.64
Auto/Transportation,10/26/10,Chevron00208575Livingstonca,28.99
Food/Drink,10/27/10,Old County Deli Belmont,7.25
Auto/Transportation,10/27/10,Union 76 100975171,40.89
Food/Drink,10/28/10,Bills Place 1,20.3
Food/Drink,10/28/10,Chipotle1174 San Carlosca,6.83
Cash/ATM,10/29/10,ATM Withdrawal - 10/29 Tx22991 505 Haight Ststar Ne 1,62.25
Shopping,10/29/10,Spirit Hallowee1,27.36
Auto/Transportation,10/29/10,U-Haul Moving11,80
Auto/Transportation,10/29/10,Union 76,3.21
Auto/Transportation,10/29/10,Union 76 100408551,3.25
Food/Drink,10/30/10,Round Table Pizza,28.67
Groceries,10/31/10,Delessio Market And Ba1,1.95
Postage / Delivery,11/1/10,Iron Man Moving Pacificaca,300
Food/Drink,11/1/10,Luna Park 1,65.7
Food/Drink,11/1/10,Old County Deli Belmont,8
Auto/Transportation,11/1/10,Shell Oil 57444678205 1,35
Building Supply / Wholesale,11/1/10,The Home Depot San Carlos,19.75
Auto/Transportation,11/2/10,Five Star Auto Service,1195.01
Auto/Transportation,11/2/10,Recur Debit Crd Pmt11/02 Fastrak Csc,30
